"Data;Último;Var%";
"28.6.2004;20.351;-1,92%";
"28.6.2002;11.139;1,14%";
"28.6.2001;14.391;0,58%";
"28.6.2000;16.842;1,99%";
"28.6.1999;11.264;0,39%";
"28.6.1996;6.044;-2,23%";
"28.6.1995;3.715;1,48%";
"28.5.2021;125.561;0,96%";
"28.5.2020;86.949;-1,13%";
"28.5.2019;96.393;1,61%";
"28.5.2018;75.356;-4,49%";
"28.5.2015;53.976;-0,48%";
"28.5.2014;52.640;0,89%";
"28.5.2013;56.036;-0,64%";
"28.5.2012;55.213;1,38%";
"28.5.2010;61.947;-0,23%";
"28.5.2009;53.041;2,41%";
"28.5.2008;73.153;3,04%";
"28.5.2007;52.120;0,97%";
"28.5.2004;19.667;-0,34%";
"28.5.2003;13.294;0,36%";
"28.5.2002;12.728;0,24%";
"28.5.2001;14.302;-0,06%";
"28.5.1999;10.930;-0,06%";
"28.5.1998;10.152;4,14%";
"28.5.1997;11.301;1,51%";
"28.5.1996;5.711;1,47%";
"28.4.2023;104.432;1,47%";
"28.4.2022;109.919;0,52%";
"28.4.2021;121.053;1,39%";
"28.4.2020;81.312;3,93%";
"28.4.2017;65.403;1,12%";
"28.4.2016;54.312;-0,3%";
"28.4.2015;55.812;0,5%";
"28.4.2014;51.384;-0,03%";
"28.4.2011;65.673;-0,89%";
"28.4.2010;66.656;0,22%";
"28.4.2009;45.821;0%";
"28.4.2008;65.678;0,75%";
"28.4.2006;40.363;1,54%";
"28.4.2005;24.440;-3,18%";
"28.4.2004;20.474;-3,95%";
"28.4.2003;12.462;2,77%";
"28.4.2000;15.538;0,63%";
"28.4.1999;11.127;2,22%";
"28.4.1998;11.377;2,89%";
"28.4.1997;9.762;0,31%";
"28.4.1995;3.814;-0,96%";
"28.3.2023;101.185;1,52%";
